Estacao;Data;Hora;Precipitacao;Temp Comp Media;
83914;30/04/2017;1200;0;;
83914;01/05/2017;0000;;15.66;
83914;01/05/2017;1200;0;;
83914;02/05/2017;0000;;17.1;
83914;02/05/2017;1200;0.1;;
83914;03/05/2017;0000;;17.6;
83914;03/05/2017;1200;0;;
83914;04/05/2017;0000;;17.58;
83914;04/05/2017;1200;13.2;;
83914;05/05/2017;0000;;18.38;
83914;05/05/2017;1200;0.1;;
83914;06/05/2017;0000;;16.84;
83914;06/05/2017;1200;0;;
83914;07/05/2017;0000;;17.8;
83914;07/05/2017;1200;0;;
83914;08/05/2017;0000;;17.68;
83914;08/05/2017;1200;0;;
83914;09/05/2017;0000;;16.9;
83914;09/05/2017;1200;0;;
83914;10/05/2017;0000;;14.38;
83914;10/05/2017;1200;0;;
83914;11/05/2017;0000;;14.52;
83914;11/05/2017;1200;0;;
83914;12/05/2017;0000;;17.66;
83914;12/05/2017;1200;0;;
83914;13/05/2017;0000;;14.56;
83914;13/05/2017;1200;0.6;;
83914;14/05/2017;0000;;13.56;
83914;14/05/2017;1200;41;;
83914;15/05/2017;0000;;13.02;
83914;15/05/2017;1200;0.4;;
83914;16/05/2017;0000;;11.92;
83914;16/05/2017;1200;0;;
83914;17/05/2017;0000;;15.8;
83914;17/05/2017;1200;0;;
83914;18/05/2017;0000;;15.08;
83914;18/05/2017;1200;0;;
83914;19/05/2017;0000;;17.56;
83914;19/05/2017;1200;45;;
83914;20/05/2017;0000;;17.16;
83914;20/05/2017;1200;0;;
83914;21/05/2017;0000;;13.1;
83914;21/05/2017;1200;30.6;;
83914;22/05/2017;0000;;13.22;
83914;22/05/2017;1200;0;;
83914;23/05/2017;0000;;12.82;
83914;23/05/2017;1200;0.1;;
83914;24/05/2017;0000;;16.38;
83914;24/05/2017;1200;55.6;;
83914;25/05/2017;0000;;21.34;
83914;25/05/2017;1200;0.6;;
83914;26/05/2017;0000;;20.36;
83914;26/05/2017;1200;0.1;;
83914;27/05/2017;0000;;16.06;
83914;27/05/2017;1200;64.2;;
83914;28/05/2017;0000;;15.98;
83914;28/05/2017;1200;51.1;;
83914;29/05/2017;0000;;14.36;
83914;29/05/2017;1200;5;;
83914;30/05/2017;0000;;13.22;
83914;30/05/2017;1200;7.7;;
83914;31/05/2017;0000;;13.66;
83914;31/05/2017;1200;56.1;;
83914;01/06/2017;0000;;11.56;
83914;01/06/2017;1200;17;;
83914;02/06/2017;0000;;12.46;
83914;02/06/2017;1200;2.6;;
83914;03/06/2017;0000;;13.38;
83914;03/06/2017;1200;0.8;;
83914;04/06/2017;0000;;14.94;
83914;04/06/2017;1200;5.4;;
83914;05/06/2017;0000;;14.8;
83914;05/06/2017;1200;42.4;;
83914;06/06/2017;0000;;13.62;
83914;06/06/2017;1200;5.8;;
83914;07/06/2017;0000;;15.34;
83914;07/06/2017;1200;0.1;;
83914;08/06/2017;0000;;12.96;
83914;08/06/2017;1200;110.6;;
83914;09/06/2017;0000;;7.22;
83914;09/06/2017;1200;21.6;;
83914;10/06/2017;0000;;7.74;
83914;10/06/2017;1200;0.1;;
83914;11/06/2017;0000;;10.7;
83914;11/06/2017;1200;0;;
83914;12/06/2017;0000;;11.24;
83914;12/06/2017;1200;0;;
83914;13/06/2017;0000;;13.62;
83914;13/06/2017;1200;0;;
83914;14/06/2017;0000;;14.7;
83914;14/06/2017;1200;0;;
83914;15/06/2017;0000;;15.18;
83914;15/06/2017;1200;0;;
83914;16/06/2017;0000;;15.78;
83914;16/06/2017;1200;0;;
83914;17/06/2017;0000;;17.66;
83914;17/06/2017;1200;0;;
83914;18/06/2017;0000;;13.7;
83914;18/06/2017;1200;0;;
83914;19/06/2017;0000;;6.4;
83914;19/06/2017;1200;7.6;;
83914;20/06/2017;0000;;6.9;
83914;20/06/2017;1200;0;;
83914;21/06/2017;0000;;11.78;
83914;21/06/2017;1200;0;;
83914;22/06/2017;0000;;15.02;
83914;22/06/2017;1200;0;;
83914;23/06/2017;0000;;16.3;
